Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03 15:00:00,7326.700195,7355.399902,7288.700195,7300.5,7300.5,839825500
2021-05-03 16:00:00,7300.5,7369.700195,7300.5,7339,7339,745259400
2021-05-03 17:00:00,7326.700195,7355.399902,7288.700195,7300.5,7300.5,839825500
2021-05-03 18:00:00,7300.5,7369.700195,7300.5,7339,7339,745259400
2021-05-03 19:00:00,7339,7373.899902,7326.600098,7327.5,7327.5,881831300
2021-05-03 20:00:00,7327.5,7369.700195,7289.399902,7348,7348,672957500
2021-05-03 21:00:00,7348,7371.700195,7314.600098,7320.799805,7320.799805,803178700
2021-05-03 22:00:00,7320.799805,7412.200195,7314.200195,7394,7394,1004623500
2021-05-03 23:00:00,7394,7458.399902,7393.600098,7453.5,7453.5,906705100
2021-05-04 00:00:00,7453.5,7501.5,7448.299805,7500.399902,7500.399902,991599100
2021-05-04 01:00:00,7500.399902,7510.799805,7492.600098,7496.5,7496.5,998682800
2021-05-04 02:00:00,7496.5,7496.700195,7448.100098,7448.100098,7448.100098,948434600
2021-05-04 03:00:00,7448.100098,7490.600098,7433.799805,7490.600098,7490.600098,1182118000
